# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
1.35	[array([0.99999753]), array([0.99867096])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.36	[array([0.99999752]), array([0.99866127])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.37	[array([0.9999975]), array([0.99865159])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.38	[array([0.99999749]), array([0.9986419])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.39	[array([0.99999747]), array([0.99863222])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.4	[array([0.99999745]), array([0.99862254])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.41	[array([0.99999744]), array([0.99861286])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.42	[array([0.99999742]), array([0.99860319])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.43	[array([0.99999741]), array([0.99859352])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.44	[array([0.99999739]), array([0.99858385])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.45	[array([0.99999738]), array([0.99857418])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.46	[array([0.99999736]), array([0.99856451])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
