# time of execution: 2022-08-03 17:58:17
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:7.5
# asf=0.12
# sdrate=1.5e-10
# sdissrate=1e-13
# rhosd=1e-19
# lambda=1e+16[W/m^3/K]
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D32C0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D3C20>[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.673959588570301e-06[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J]
1.25	0.9967582388148657	100.0	100.0	0.0	0.0	0.0	0.0	-2.439986740112106e-23
1.2599999999999998	0.996727863460768	100.0	100.0	0.0	0.0	0.0	0.0	-2.4375039171187613e-23
1.27	0.996697515865843	100.0	100.0	0.0	0.0	0.0	0.0	-2.4350532179377742e-23
1.28	0.9966671960008472	100.0	100.0	0.0	0.0	0.0	0.0	-2.4326311265315727e-23
1.29	0.9966369038366097	100.0	100.0	0.0	0.0	0.0	0.0	-2.4302345410881345e-23
1.2999999999999998	0.9966066393440284	100.0	100.0	0.0	0.0	0.0	0.0	-2.427860725223543e-23
1.31	0.9965764024940637	100.0	100.0	0.0	0.0	0.0	0.0	-2.4255072648496113e-23
1.32	0.9965461932577371	100.0	100.0	0.0	0.0	0.0	0.0	-2.4231720302104217e-23
1.33	0.9965160116061266	100.0	100.0	0.0	0.0	0.0	0.0	-2.4208531423255918e-23
1.3399999999999999	0.9964858575103647	100.0	100.0	0.0	0.0	0.0	0.0	-2.4185489434360594e-23
1.3499999999999999	0.9964557309416368	100.0	100.0	0.0	0.0	0.0	0.0	-2.4162579709264984e-23
1.36	0.9964256318711766	100.0	100.0	0.0	0.0	0.0	0.0	-2.4139789342893703e-23
1.37	0.9963955602702667	100.0	100.0	0.0	0.0	0.0	0.0	-2.4117106949160832e-23
1.38	0.9963655161102372	100.0	100.0	0.0	0.0	0.0	0.0	-2.40945224805507e-23
1.39	0.9963354993624622	100.0	100.0	0.0	0.0	0.0	0.0	-2.407202707136021e-23
1.4	0.9963055099983606	100.0	100.0	0.0	0.0	0.0	0.0	-2.4049612897749666e-23
1.4100000000000001	0.9962755479893924	100.0	100.0	0.0	0.0	0.0	0.0	-2.4027273055547857e-23
1.42	0.9962456133070612	100.0	100.0	0.0	0.0	0.0	0.0	-2.4005001450822738e-23
1.43	0.9962157059229098	100.0	100.0	0.0	0.0	0.0	0.0	-2.3982792705594843e-23
1.44	0.9961858258085227	100.0	100.0	0.0	0.0	0.0	0.0	-2.3960642072146907e-23
1.45	0.9961559729355239	100.0	100.0	0.0	0.0	0.0	0.0	-2.3938545359341468e-23
1.46	0.9961261472755748	100.0	100.0	0.0	0.0	0.0	0.0	-2.391649886785514e-23
1.47	0.9960963488003775	100.0	100.0	0.0	0.0	0.0	0.0	-2.3894499330090168e-23
1.48	0.9960665774816699	100.0	100.0	0.0	0.0	0.0	0.0	-2.387254386090306e-23
